NAME,PRICE,CUISINES,CITY,REGION,URL,PAGE NO,RESTAURANT_TYPE,TIMING,RATING_TYPE,RATING,VOTES,AREA,PRICE_CATEGORY,RATING_CATEGORY,POPULARITY_CATEGORY,AFFORDABLE_FLAG,WEIGHTED_RATING,VALUE_SCORE,COMBINED_FEATURES
Thotrin Cafe,650,"North Eastern,Chinese",Mumbai,Santacruz East,https://www.zomato.com/mumbai/thotrin-cafe-santacruz-east/info,101,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.2,227.0,Santacruz,Moderate,Very Good,Moderately Popular,True,4.01,6.17,"thotrin cafe north eastern,chinese quick bites moderate very good moderately popular"
Sarvodaya Pure Veg,700,"Chinese,South Indian,North Indian,Street Food",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/sarvodaya-pure-veg-near-andheri-east-station/info,102,Casual Dining,9am to 1130pm(Mon-Sun),Good,3.9,814.0,Andheri,Moderate,Good,Highly Popular,True,3.87,5.53,"sarvodaya pure veg chinese,south indian,north indian,street food casual dining moderate good highly popular"
Downtown China,750,"Chinese,Thai",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/downtown-china-andheri-lokhandwala/info,102,Casual Dining,12noon to 12midnight(Mon-Sun),Excellent,4.8,162.0,Andheri,Moderate,Excellent,Moderately Popular,True,4.32,5.76,"downtown china chinese,thai casual dining moderate excellent moderately popular"
Ray's Cafe & Pizzeria,1400,"Italian,Pizza,Fast Food,Beverages",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/rays-cafe-pizzeria-hill-road-bandra-west/info,102,Café,"12noon to 11pm(Mon-Thu),12noon to 1130pm(Fri-Sun)",Very Good,4.1,1960.0,Bandra,Expensive,Very Good,Highly Popular,False,4.07,2.91,"ray's cafe & pizzeria italian,pizza,fast food,beverages café expensive very good highly popular"
Wok Express,700,"Chinese,Asian,Thai,Beverages",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/wok-express-pali-hill-bandra-west/info,102,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.9,1442.0,Bandra,Moderate,Good,Highly Popular,True,3.88,5.54,"wok express chinese,asian,thai,beverages casual dining moderate good highly popular"
Dale's Eden Cake Shop,600,"Bakery,Desserts",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/dales-eden-cake-shop-andheri-lokhandwala/info,102,Bakery,9am to 12midnight(Mon-Sun),Very Good,4.1,706.0,Andheri,Moderate,Very Good,Highly Popular,True,4.03,6.72,"dale's eden cake shop bakery,desserts bakery moderate very good highly popular"
La Folie Lab,1400,"Cafe,Healthy Food,Desserts,Beverages",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/la-folie-lab-hill-road-bandra-west/info,102,Café,"830am to 11pm(Mon-Fri),830am to 12midnight...",Very Good,4.2,877.0,Bandra,Expensive,Very Good,Highly Popular,False,4.13,2.95,"la folie lab cafe,healthy food,desserts,beverages café expensive very good highly popular"
Rajyog,800,"North Indian,Chinese,Seafood",Mumbai,Bandra East,https://www.zomato.com/mumbai/rajyog-bandra-east/info,103,Casual Dining,1130am to 1230AM(Mon-Sun),Good,3.6,83.0,Bandra,Moderate,Good,Low Popularity,True,3.61,4.51,"rajyog north indian,chinese,seafood casual dining moderate good low popularity"
Star Of China,800,Chinese,Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/star-of-china-7-bungalows/info,103,Casual Dining,"12midnight to 1am,12noon to 12midnight(Mon-Sun)",Good,3.6,155.0,Andheri,Moderate,Good,Moderately Popular,True,3.6,4.5,star of china chinese casual dining moderate good moderately popular
China Hut,400,Chinese,Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/china-hut-andheri-lokhandwala/info,104,Quick Bites,"7pm to 4am(Mon-Fri),12noon to 4pm,5pm to 4am...",Good,3.5,165.0,Andheri,Budget,Good,Moderately Popular,True,3.54,8.85,china hut chinese quick bites budget good moderately popular
Pink Sugar,500,"Bakery,Desserts",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/pink-sugar-carter-road-bandra-west/info,105,Bakery,1030am to 1230AM(Mon-Sun),Good,3.9,259.0,Bandra,Budget,Good,Moderately Popular,True,3.81,7.62,"pink sugar bakery,desserts bakery budget good moderately popular"
Cafe Falak,500,"Chinese,Biryani,Rolls",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/cafe-falak-near-andheri-east-station/info,105,Quick Bites,1130am to 1am(Mon-Sun),Good,3.5,40.0,Andheri,Budget,Good,Low Popularity,True,3.58,7.16,"cafe falak chinese,biryani,rolls quick bites budget good low popularity"
PEFE,850,"Cafe,Italian,Mexican,Continental,Beverages,Fast Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/pefe-andheri-lokhandwala/info,106,Café,12noon to 12midnight(Mon-Sun),Very Good,4.3,446.0,Andheri,Moderate,Very Good,Moderately Popular,True,4.16,4.89,"pefe cafe,italian,mexican,continental,beverages,fast food café moderate very good moderately popular"
Blue Tokai Coffee Roasters,550,Cafe,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/blue-tokai-coffee-roasters-pali-hill-bandra-west/info,106,Café,"8am to 11pm(Mon,Tue,Fri,Sat,Sun),6pm to 11pm...",Very Good,4.1,366.0,Bandra,Moderate,Very Good,Moderately Popular,True,3.99,7.25,blue tokai coffee roasters cafe café moderate very good moderately popular
Vanilla Beans,500,"Bakery,Desserts",Mumbai,Bandra Talao-- Bandra West,https://www.zomato.com/mumbai/vanilla-beans-bandra-talao-bandra-west/info,107,Bakery,10am to 8pm(Mon-Sun),Very Good,4.3,945.0,Bandra,Budget,Very Good,Highly Popular,True,4.23,8.46,"vanilla beans bakery,desserts bakery budget very good highly popular"
New Cafe Gulshan,250,"North Indian,Mughlai",Mumbai,Juhu,https://www.zomato.com/mumbai/new-cafe-gulshan-juhu/info,108,Quick Bites,8am to 1230AM(Mon-Sun),Average,3.2,10.0,Juhu,Budget,Average,Low Popularity,False,3.58,14.32,"new cafe gulshan north indian,mughlai quick bites budget average low popularity"
Yahoo The Chinese Cuisine,400,Chinese,Mumbai,Santacruz East,https://www.zomato.com/mumbai/yahoo-the-chinese-cuisine-santacruz-east/info,108,Quick Bites,6pm to 1230AM(Mon-Sun),Average,3.2,11.0,Santacruz,Budget,Average,Low Popularity,False,3.57,8.92,yahoo the chinese cuisine chinese quick bites budget average low popularity
Daily Cafe,1500,"North Indian,Continental,Chinese",Mumbai,Juhu,https://www.zomato.com/mumbai/daily-cafe-juhu/info,109,Casual Dining,11am to 2am(Mon-Sun),Average,3.4,40.0,Juhu,Expensive,Average,Low Popularity,False,3.55,2.37,"daily cafe north indian,continental,chinese casual dining expensive average low popularity"
Kitchen in Kloud,600,"North Indian,Chinese,Continental,Healthy Food,Biryani,Italian,Burger,Rolls",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/kitchen-in-kloud-oshiwara/info,109,none,12noon to 1am(Mon-Sun),Very Good,4.0,277.0,Andheri,Moderate,Very Good,Moderately Popular,True,3.89,6.48,"kitchen in kloud north indian,chinese,continental,healthy food,biryani,italian,burger,rolls none moderate very good moderately popular"
House of Lloyd,2500,"Goan,Seafood,BBQ",Mumbai,Juhu,https://www.zomato.com/mumbai/house-of-lloyd-juhu/info,11,Fine Dining,"7pm to 130am(Mon-Fri),12noon to 4pm,7pm to ...",Very Good,4.2,385.0,Juhu,Premium,Very Good,Moderately Popular,False,4.07,1.63,"house of lloyd goan,seafood,bbq fine dining premium very good moderately popular"
D:OH!,1200,"Fast Food,Italian,Beverages",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/d-oh-andheri-lokhandwala/info,11,Casual Dining,11am to 1am(Mon-Sun),Good,3.9,1554.0,Andheri,Expensive,Good,Highly Popular,False,3.88,3.23,"d:oh! fast food,italian,beverages casual dining expensive good highly popular"
Quench - All Day Pub,1600,"Continental,Chinese,Asian,Italian,Pizza",Mumbai,Juhu,https://www.zomato.com/mumbai/quench-all-day-pub-juhu/info,11,Pub,12noon to 1am(Mon-Sun),Very Good,4.0,1500.0,Juhu,Premium,Very Good,Highly Popular,False,3.97,2.48,"quench - all day pub continental,chinese,asian,italian,pizza pub premium very good highly popular"
JumboKing,250,"Fast Food,Burger",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/jumboking-2-versova/info,110,Quick Bites,10am to 1230AM(Mon-Sun),Good,3.5,34.0,Andheri,Budget,Good,Low Popularity,True,3.59,14.36,"jumboking fast food,burger quick bites budget good low popularity"
Krème de la Krème - The Gelateria,300,"Desserts,Ice Cream,Beverages",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/krème-de-la-krème-the-gelateria-vile-parle-east/info,110,Dessert Parlor,1130am to 1am(Mon-Sun),Very Good,4.1,99.0,Vile Parle,Budget,Very Good,Low Popularity,True,3.84,12.8,"krème de la krème - the gelateria desserts,ice cream,beverages dessert parlor budget very good low popularity"
Aroma Family Restaurant & Bar,700,"North Indian,Mughlai,Chinese",Mumbai,Juhu,https://www.zomato.com/mumbai/aroma-family-restaurant-bar-juhu/info,110,Casual Dining,"1230pm to 430pm,730pm to 1230AM(Mon-Sun)",Good,3.7,148.0,Juhu,Moderate,Good,Moderately Popular,True,3.66,5.23,"aroma family restaurant & bar north indian,mughlai,chinese casual dining moderate good moderately popular"
The Tangy Tandoor,700,"North Indian,Mughlai,Rolls",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/the-tangy-tandoor-andheri-lokhandwala/info,110,Quick Bites,"7pm to 4am(Mon-Fri),12noon to 4pm,7pm to 4am...",Good,3.9,150.0,Andheri,Moderate,Good,Moderately Popular,True,3.78,5.4,"the tangy tandoor north indian,mughlai,rolls quick bites moderate good moderately popular"
WTF!,1500,"North Indian,Chinese,Continental",Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/wtf-7-bungalows/info,111,Casual Dining,6pm to 1230AM(Mon-Sun),Good,3.7,847.0,Andheri,Expensive,Good,Highly Popular,False,3.69,2.46,"wtf! north indian,chinese,continental casual dining expensive good highly popular"
Joss,2500,"Japanese,Asian",Mumbai,Santacruz West,https://www.zomato.com/mumbai/joss-santacruz-west/info,111,Fine Dining,"1230pm to 330pm,730pm to 1130pm(Mon-Sun)",Very Good,4.1,1276.0,Santacruz,Premium,Very Good,Highly Popular,False,4.06,1.62,"joss japanese,asian fine dining premium very good highly popular"
Nomada,1300,American,Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/nomada-versova/info,111,Casual Dining,"Closed(Mon),1pm to 12midnight(Tue-Sat),12noon to ...",Good,3.9,56.0,Andheri,Expensive,Good,Low Popularity,False,3.71,2.85,nomada american casual dining expensive good low popularity
Govinda's Restaurant,900,"North Indian,Chinese",Mumbai,Juhu,https://www.zomato.com/mumbai/govindas-restaurant-juhu/info,112,Casual Dining,"730am to 330pm,730pm to 1030pm(Mon-Sun)",Muito Bom,4.1,891.0,Juhu,Moderate,Very Good,Highly Popular,True,4.05,4.5,"govinda's restaurant north indian,chinese casual dining moderate very good highly popular"
Whacko Taco,400,Mexican,Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/whacko-taco-versova/info,112,Quick Bites,12noon to 12midnight(Mon-Sun),Very Good,4.1,98.0,Andheri,Budget,Very Good,Low Popularity,True,3.84,9.6,whacko taco mexican quick bites budget very good low popularity
Natural Fresh Ice-Cream,350,"Desserts,Ice Cream",Mumbai,Near Andheri West Station,https://www.zomato.com/mumbai/natural-fresh-ice-cream-near-andheri-west-station/info,112,Dessert Parlor,11am to 12midnight(Mon-Sun),Good,3.7,34.0,Andheri,Budget,Good,Low Popularity,True,3.63,10.37,"natural fresh ice-cream desserts,ice cream dessert parlor budget good low popularity"
Lucky Sandwich And Pizza Corner,200,Fast Food,Mumbai,Vile Parle West,https://www.zomato.com/mumbai/lucky-sandwich-and-pizza-corner-vile-parle-west/info,114,Quick Bites,1130am to 1130pm(Mon-Sun),Very Good,4.1,353.0,Vile Parle,Budget,Very Good,Moderately Popular,True,3.98,19.9,lucky sandwich and pizza corner fast food quick bites budget very good moderately popular
Brownie Point,400,Desserts,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/brownie-point-pali-hill-bandra-west/info,114,Bakery,11am to 11pm(Mon-Sun),Very Good,4.2,424.0,Bandra,Budget,Very Good,Moderately Popular,True,4.08,10.2,brownie point desserts bakery budget very good moderately popular
The Yoga House,1500,"Cafe,Healthy Food",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/the-yoga-house-carter-road-bandra-west/info,114,Café,"Closed(Mon),8am to 1030pm(Tue-Sun)",Very Good,4.1,1214.0,Bandra,Expensive,Very Good,Highly Popular,False,4.06,2.71,"the yoga house cafe,healthy food café expensive very good highly popular"
Bakers,250,"Bakery,Fast Food",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/bakers-near-andheri-east-station/info,114,Bakery,"9am to 9pm(Mon-Sat),9am to 8pm(Sun)",Good,3.8,84.0,Andheri,Budget,Good,Low Popularity,True,3.69,14.76,"bakers bakery,fast food bakery budget good low popularity"
Sequel Bistro & Juice Bar,1500,"Cafe,Healthy Food",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/sequel-bistro-juice-bar-pali-hill-bandra-west/info,114,Café,8am to 1030pm(Mon-Sun),Good,3.9,388.0,Bandra,Expensive,Good,Moderately Popular,False,3.84,2.56,"sequel bistro & juice bar cafe,healthy food café expensive good moderately popular"
Sagar Chinese,500,"Chinese,North Indian",Mumbai,Juhu,https://www.zomato.com/mumbai/sagar-chinese-juhu/info,115,Casual Dining,7pm to 4am(Mon-Sun),Good,3.6,149.0,Juhu,Budget,Good,Moderately Popular,True,3.6,7.2,"sagar chinese chinese,north indian casual dining budget good moderately popular"
Blue Sky,700,"North Indian,Chinese,Seafood",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/blue-sky-1-oshiwara/info,116,Casual Dining,11am to 130am(Mon-Sun),Average,3.3,17.0,Andheri,Moderate,Average,Low Popularity,False,3.57,5.1,"blue sky north indian,chinese,seafood casual dining moderate average low popularity"
Hogg Quarter's,500,"Fast Food,Beverages",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/hogg-quarters-oshiwara/info,116,none,6pm to 4am(Mon-Sun),Very Good,4.0,431.0,Andheri,Budget,Very Good,Moderately Popular,True,3.92,7.84,"hogg quarter's fast food,beverages none budget very good moderately popular"
Pachinco,400,"Coffee,Beverages",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/pachinco-andheri-lokhandwala/info,117,Café,11am to 1230AM(Mon-Sun),Good,3.5,10.0,Andheri,Budget,Good,Low Popularity,True,3.6,9.0,"pachinco coffee,beverages café budget good low popularity"
Between Breads,1000,"Cafe,American,Burger,Fast Food",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/between-breads-pali-hill-bandra-west/info,118,Café,11am to 1130pm(Mon-Sun),Very Good,4.0,2663.0,Bandra,Moderate,Very Good,Highly Popular,True,3.98,3.98,"between breads cafe,american,burger,fast food café moderate very good highly popular"
Serotonin - The Kitchen,500,"Continental,Healthy Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/serotonin-the-kitchen-andheri-lokhandwala/info,119,none,11am to 10pm(Mon-Sun),Very Good,4.3,122.0,Andheri,Budget,Very Good,Moderately Popular,True,3.97,7.94,"serotonin - the kitchen continental,healthy food none budget very good moderately popular"
Aquafire Restaurant,1100,"North Indian,Continental,Chinese,Italian",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/aquafire-restaurant-vile-parle-east/info,12,Casual Dining,"12noon to 3pm,7pm to 1230AM(Mon-Sun)",Excellent,4.6,1376.0,Vile Parle,Expensive,Excellent,Highly Popular,False,4.53,4.12,"aquafire restaurant north indian,continental,chinese,italian casual dining expensive excellent highly popular"
Nom Nom,1600,"Asian,Singaporean,Indonesian,Japanese,Chinese,Thai",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/nom-nom-1-pali-hill-bandra-west/info,12,Casual Dining,"12noon to 3pm,7pm to 130am(Mon-Sun)",Very Good,4.0,355.0,Bandra,Premium,Very Good,Moderately Popular,False,3.91,2.44,"nom nom asian,singaporean,indonesian,japanese,chinese,thai casual dining premium very good moderately popular"
Bistro 1,1000,"European,Burger,Salad,Healthy Food,Continental",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/bistro1/info,12,Casual Dining,"9am to 1230AM(Mon,Tue,Wed,Fri,Sat,Sun)...",Very Good,4.1,1381.0,Andheri,Moderate,Very Good,Highly Popular,True,4.06,4.06,"bistro 1 european,burger,salad,healthy food,continental casual dining moderate very good highly popular"
Turkey Central,1800,"Turkish,Arabian,Mughlai",Mumbai,Juhu,https://www.zomato.com/mumbai/turkey-central-juhu/info,12,Casual Dining,12noon to 130am(Mon-Sun),Very Good,4.3,324.0,Juhu,Premium,Very Good,Moderately Popular,False,4.13,2.29,"turkey central turkish,arabian,mughlai casual dining premium very good moderately popular"
Sigdi,650,"Mughlai,North Indian,Chinese",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/sigdi-linking-road-bandra-west/info,12,Casual Dining,11am to 6am(Mon-Sun),Good,3.7,616.0,Bandra,Moderate,Good,Highly Popular,True,3.69,5.68,"sigdi mughlai,north indian,chinese casual dining moderate good highly popular"
Shabari,700,"North Indian,Chinese,South Indian",Mumbai,Santacruz West,https://www.zomato.com/mumbai/shabari-santacruz-west/info,12,Casual Dining,11am to 1230AM(Mon-Sun),Good,3.8,563.0,Santacruz,Moderate,Good,Highly Popular,True,3.77,5.39,"shabari north indian,chinese,south indian casual dining moderate good highly popular"
Rodeo Pizza,500,Pizza,Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/rodeo-pizza-7-bungalows/info,12,Quick Bites,12noon to 230am(Mon-Sun),Very Good,4.2,701.0,Andheri,Budget,Very Good,Highly Popular,True,4.12,8.24,rodeo pizza pizza quick bites budget very good highly popular
Genuine Broaster Chicken,800,"Continental,Asian,American",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/genuine-broaster-chicken-versova/info,120,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.2,1213.0,Andheri,Moderate,Very Good,Highly Popular,True,4.15,5.19,"genuine broaster chicken continental,asian,american casual dining moderate very good highly popular"
Sandwizzaa,300,"Sandwich,Fast Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/sandwizzaa-andheri-lokhandwala/info,120,Quick Bites,"11am to 930pm(Mon-Fri),11am to 11pm(Sat-Sun)",Very Good,4.0,358.0,Andheri,Budget,Very Good,Moderately Popular,True,3.91,13.03,"sandwizzaa sandwich,fast food quick bites budget very good moderately popular"
Grub Hub,1300,"North Indian,Fast Food,Rolls",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/grub-hub-versova/info,122,Quick Bites,11am to 1am(Mon-Sun),Average,3.4,18.0,Andheri,Expensive,Average,Low Popularity,False,3.58,2.75,"grub hub north indian,fast food,rolls quick bites expensive average low popularity"
Mauja,700,"North Indian,Chinese,Biryani",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/mauja-versova/info,122,none,1215pm to 4am(Mon-Sun),Average,3.4,311.0,Andheri,Moderate,Average,Moderately Popular,False,3.46,4.94,"mauja north indian,chinese,biryani none moderate average moderately popular"
Poushtikk Box,500,North Indian,Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/poushtikk-box-near-andheri-east-station/info,123,Quick Bites,8am to 9pm(Mon-Sun),Good,3.7,57.0,Andheri,Budget,Good,Low Popularity,True,3.64,7.28,poushtikk box north indian quick bites budget good low popularity
The Waffle Point,300,"Desserts,Bakery,Cafe,Beverages",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/the-waffle-point-1-near-andheri-east-station/info,123,Dessert Parlor,1230pm to 1155pm(Mon-Sun),Very Good,4.4,481.0,Andheri,Budget,Very Good,Moderately Popular,True,4.25,14.17,"the waffle point desserts,bakery,cafe,beverages dessert parlor budget very good moderately popular"
Desi Videsi,300,"North Indian,South Indian,Fast Food",Mumbai,Santacruz East,https://www.zomato.com/mumbai/desi-videsi-santacruz-east/info,124,Quick Bites,"11am to 2am(Mon),11am to 12midnight(Tue-Sun)",Very Good,4.3,132.0,Santacruz,Budget,Very Good,Moderately Popular,True,3.99,13.3,"desi videsi north indian,south indian,fast food quick bites budget very good moderately popular"
Khane Khas,1000,"North Indian,Kebab,Biryani,Rolls",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/khane-khas-pali-hill-bandra-west/info,124,Casual Dining,"12noon to 3pm(Mon),12noon to 3pm,7pm to ...",Very Good,4.3,695.0,Bandra,Moderate,Very Good,Highly Popular,True,4.21,4.21,"khane khas north indian,kebab,biryani,rolls casual dining moderate very good highly popular"
The Dressing Co.,500,"Salad,Healthy Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/the-dressing-co-andheri-lokhandwala/info,124,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.2,50.0,Andheri,Budget,Very Good,Low Popularity,True,3.8,7.6,"the dressing co. salad,healthy food quick bites budget very good low popularity"
STOVE - The Vegetarian Kitchen,600,"Mexican,Italian,Lebanese,Rajasthani,Gujarati",Mumbai,Santacruz East,https://www.zomato.com/mumbai/stove-the-vegetarian-kitchen-santacruz-east/info,125,none,"11am to 3pm,6pm to 11pm(Mon-Sun)",Very Good,4.4,383.0,Santacruz,Moderate,Very Good,Moderately Popular,True,4.22,7.03,"stove - the vegetarian kitchen mexican,italian,lebanese,rajasthani,gujarati none moderate very good moderately popular"
Fresh Food Co.,500,"Continental,Healthy Food,Salad,Beverages,Desserts,Sandwich,Juices",Mumbai,Santacruz East,https://www.zomato.com/mumbai/fresh-food-co-santacruz-east/info,125,none,9am to 11pm(Mon-Sun),Excellent,4.5,182.0,Santacruz,Budget,Excellent,Moderately Popular,True,4.17,8.34,"fresh food co. continental,healthy food,salad,beverages,desserts,sandwich,juices none budget excellent moderately popular"
Swad Maharashtracha,400,Maharashtrian,Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/swad-maharashtracha-andheri-lokhandwala/info,125,Quick Bites,9am to 11pm(Mon-Sun),Good,3.5,133.0,Andheri,Budget,Good,Moderately Popular,True,3.55,8.88,swad maharashtracha maharashtrian quick bites budget good moderately popular
Bunk Junk,500,"Salad,Sandwich,Healthy Food",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/bunk-junk-oshiwara/info,125,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.5,75.0,Andheri,Budget,Excellent,Low Popularity,True,3.97,7.94,"bunk junk salad,sandwich,healthy food quick bites budget excellent low popularity"
Maruti Pav Bhaji,150,Street Food,Mumbai,Vile Parle West,https://www.zomato.com/mumbai/maruti-pav-bhaji-vile-parle-west/info,125,Quick Bites,730pm to 12midnight(Mon-Sun),Very Good,4.0,399.0,Vile Parle,Budget,Very Good,Moderately Popular,True,3.92,26.13,maruti pav bhaji street food quick bites budget very good moderately popular
Theeram,550,"Biryani,South Indian,Kerala",Mumbai,Santacruz East,https://www.zomato.com/mumbai/theeram-santacruz-east/info,125,Casual Dining,7am to 11pm(Mon-Sun),Very Good,4.0,406.0,Santacruz,Moderate,Very Good,Moderately Popular,True,3.92,7.13,"theeram biryani,south indian,kerala casual dining moderate very good moderately popular"
